Speaker_ID,Utterance_Count
id00580,36551
id00076,18265
id00838,8865
id00055,7539
id00075,7107
id00579,6580
id01889,5779
id02072,5166
id00828,4587
id00976,4573
id00056,4374
id00884,4005
id01158,3894
id00848,3769
id00815,3709
id02048,3600
id01604,3327
id00959,3285
id01848,3268
id01172,3111
id00954,3100
id00961,3094
id02011,3084
id00964,2913
id01226,2798
id00965,2500
id00595,2495
id02028,2449
id00960,2442
id01876,2387
id02051,2282
id01959,2189
id01965,2186
id00813,2124
id00950,1965
id00904,1924
id00000,1920
id00070,1918
id00805,1914
id00642,1906
id00812,1905
id00953,1871
id01846,1862
id01692,1820
id01448,1730
id01807,1728
id00090,1721
id00849,1716
id00858,1712
id00798,1708
id00952,1675
id00001,1666
id01818,1656
id01999,1615
id00966,1551
id01901,1548
id00816,1538
id00924,1526
id01500,1524
id01917,1471
id00956,1449
id01966,1433
id00822,1416
id02024,1416
id01789,1390
id01928,1368
id01216,1366
id02322,1336
id01176,1330
id02246,1306
id02037,1306
id01346,1291
id00731,1284
id01780,1242
id00949,1241
id00099,1233
id01723,1232
id00923,1219
id01612,1209
id01134,1205
id02062,1199
id00078,1198
id01942,1197
id02235,1156
id00991,1150
id00837,1136
id01000,1135
id01744,1134
id00999,1132
id01227,1102
id01914,1102
id02066,1079
id01588,1075
id01633,1074
id01549,1052
id00077,1046
id01988,1046
id01878,1027
id01994,1024
id02055,1022
id01859,1021
id01650,1012
id01829,1010
id01640,1002
id01781,1000
id01912,993
id02053,988
id01808,983
id01977,980
id01873,979
id01713,978
id01635,975
id00577,966
id01734,965
id00951,964
id01852,952
id00843,952
id01955,950
id01952,949
id01998,945
id00016,943
id01154,941
id02063,938
id00002,938
id01865,936
id01793,936
id01937,921
id01421,915
id01654,914
id01151,913
id01691,912
id01893,912
id02046,905
id01854,891
id01968,882
id01606,873
id01884,869
id01810,864
id00644,864
id01933,847
id02040,840
id01817,838
id01840,837
id01223,826
id00962,819
id00121,815
id01816,811
id02077,810
id01941,809
id00957,807
id01897,799
id00004,797
id01034,793
id00992,793
id00934,790
id00801,780
id01665,779
id01538,777
id01978,771
id01300,771
id01638,766
id00032,763
id02249,761
id02057,758
id01797,756
id01748,752
id01877,748
id00005,747
id01920,742
id00977,739
id01856,737
id02036,731
id01906,728
id01025,726
id01961,724
id01976,722
id01806,720
id01940,713
id00776,711
id02056,704
id01587,702
id00717,701
id01164,701
id01326,700
id01943,698
id02240,695
id00707,690
id01855,680
id01254,678
id01503,677
id01782,671
id00600,671
id00845,670
id01960,669
id01839,667
id01642,666
id02241,663
id01985,663
id00779,661
id01558,660
id01862,655
id02027,652
id01945,651
id01899,647
id01565,645
id01832,644
id01956,643
id00003,642
id00651,640
id01684,637
id01913,636
id01753,634
id02070,634
id02247,628
id02252,625
id01708,622
id01973,615
id01644,615
id01836,613
id02047,612
id01470,608
id01445,608
id00996,601
id01774,598
id01310,597
id01904,594
id01916,589
id02073,588
id00790,587
id01911,587
id01251,586
id01504,580
id00668,577
id01765,575
id02248,574
id02065,572
id01494,571
id01794,567
id00653,557
id01701,554
id01847,553
