Speaker_ID,Utterance_Count
id00580,15221
id00090,10783
id01172,6870
id00099,6828
id00595,6809
id01025,5659
id00835,3804
id00579,3142
id00121,2995
id00837,2920
id02322,2709
id00838,2439
id00076,2351
id01158,2203
id01034,1822
id00828,1805
id00129,1719
id00812,1658
id00813,1475
id00848,1238
id01604,1180
id01889,1178
id00815,1167
id00122,1107
id00642,1077
id01226,1058
id00150,1024
id00731,988
id00805,980
id00884,910
id00075,877
id00597,835
id01035,832
id00130,816
id00055,812
id00849,777
id00923,677
id00816,675
id01346,646
id01780,621
id00160,615
id01807,597
id00822,576
id00644,564
id02072,564
id00949,543
id00151,536
id02011,516
id00721,496
id01250,492
id01817,490
id00056,490
id00845,487
id00947,485
id01588,479
id00183,479
id00707,474
id02028,462
id01636,457
id01227,449
id00991,442
id00598,440
id00954,436
id01839,433
id00950,428
id01859,423
id00600,421
id01470,419
id01829,416
id01283,415
id01665,412
id00858,410
id00953,410
id01164,409
id01848,407
id00948,393
id00651,393
id01484,389
id00951,385
id00801,385
id01789,385
id00729,384
id01862,376
id00577,375
id01549,372
id00843,369
id00952,368
id01251,368
id00959,367
id00976,366
id00199,366
id00176,365
id00798,363
id01558,360
id02048,359
id01825,359
id01176,350
id00924,344
id00178,340
id01818,338
id01612,335
id01448,332
id01493,331
id01691,326
id01769,320
id01504,318
id01775,317
id01635,316
id01421,311
id00588,310
id01904,307
id00961,305
id00957,301
id02365,300
id02368,299
id01893,299
id02370,299
id02366,298
id02367,297
id02371,297
id02369,296
id02372,294
id02363,292
id01745,290
id00956,290
id00847,287
id02364,287
id01943,273
id01647,273
id00668,272
id01293,270
id00594,269
id01959,267
id01650,267
id01876,267
id01942,266
id01873,266
id01718,265
id01965,265
id01744,263
id00904,263
id01928,260
id01917,257
id02235,254
id01644,254
id00198,254
id01753,252
id01216,251
id01443,251
id02353,250
id02358,250
id01538,250
id02356,249
id02359,249
id01568,248
id02352,248
id01300,248
id01587,248
id02354,248
id00790,248
id02355,247
id02360,247
id01606,246
id02361,245
id02362,244
id02376,244
id02357,244
id01782,243
id01494,241
id01846,241
id01042,241
id00184,240
id00960,240
id00964,239
id01692,237
id01600,235
id00202,232
id01788,232
id00962,231
id01709,230
id02053,229
id00990,227
id01485,227
id01381,226
id01836,226
id01723,225
id01424,224
id01999,223
id02051,222
id01901,222
id01322,222
id01656,221
id01334,221
id01417,220
id01306,219
id01326,219
id01394,218
id01391,218
id00926,217
id00730,211
id01816,211
id01765,211
id01397,208
id00834,208
id01810,208
id01580,207
id01899,205
id01654,204
id01347,203
id01640,203
id01808,203
id01565,202
id02240,202
id00209,200
id01497,199
id01445,197
id01134,197
id01449,196
id02246,196
id00205,195
id00653,194
id01914,193
id01503,193
id01998,192
id00000,191
id01638,191
id02063,191
id01994,189
id01977,187
id01916,187
id01781,186
id01577,184
id01913,184
id01633,183
id01500,182
id01046,180
id02375,180
id01821,179
id01783,179
id01552,178
id01724,176
id00617,176
id00717,175
id01015,175
