Speaker_ID,Utterance_Count
id00580,15727
id00090,11213
id00595,8487
id00835,8482
id00099,7245
id01172,7005
id01025,6174
id00579,3143
id00121,3135
id02322,2939
id00837,2921
id00838,2442
id00076,2384
id01158,2205
id00129,1936
id01034,1863
id00828,1816
id00812,1665
id00813,1489
id00055,1486
id00056,1412
id01604,1282
id00848,1247
id01889,1186
id00815,1186
id00122,1144
id00150,1124
id00642,1078
id01226,1058
id00731,997
id00805,980
id00597,926
id00884,910
id01035,899
id00075,887
id00130,835
id00849,780
id00816,697
id00923,678
id01346,652
id01780,632
id00160,627
id01807,617
id00822,576
id02072,564
id00644,564
id00949,547
id00151,543
id01283,520
id02011,516
id00721,500
id01250,495
id00707,492
id01817,491
id00845,487
id00947,487
id01588,486
id00183,482
id02028,462
id01636,458
id00598,457
id01227,452
id00991,443
id01164,440
id01839,438
id00954,437
id01859,436
id00950,432
id00600,430
id01470,425
id01829,416
id00858,415
id00831,415
id01848,414
id00953,412
id01665,412
id01484,400
id00948,396
id00651,396
id00729,390
id01549,388
id00951,387
id00801,387
id01789,385
id01862,384
id00176,381
id00199,378
id00577,377
id01493,373
id01251,372
id00952,371
id00843,370
id01558,370
id00959,367
id00976,367
id00798,365
id01825,362
id02048,359
id01176,350
id00178,350
id00594,349
id00924,346
id01818,345
id01293,341
id01612,339
id01448,333
id01691,328
id01504,322
id01421,321
id01769,321
id01635,320
id01775,318
id00588,310
id01904,307
id00834,305
id00961,305
id00957,303
id02365,300
id02370,300
id02369,300
id02368,300
id02367,300
id02366,300
id01893,300
id02364,300
id02363,300
id02371,300
id02372,298
id01745,292
id00956,290
id00847,288
id01647,286
id01391,283
id00832,283
id01943,277
id01538,276
id00668,272
id01718,271
id01650,270
id01568,270
id01959,269
id01876,267
id01942,266
id01873,266
id01965,265
id00198,264
id00904,263
id01744,263
id01644,262
id01306,260
id01928,260
id01300,259
id01600,259
id01917,259
id01753,257
id01417,257
id01606,256
id01443,255
id02235,254
id01216,252
id01587,252
id02361,250
id02355,250
id00790,250
id02359,250
id02356,250
id01782,250
id02360,250
id02357,250
id02358,250
id02353,250
id02362,250
id02354,250
id02352,250
id01042,247
id00728,247
id01322,246
id01494,245
id02376,244
id01334,243
id01846,243
id01424,242
id00184,241
id00960,240
id01394,240
id00964,239
id00202,238
id01692,237
id01347,237
id01836,236
id01709,234
id01788,233
id00962,232
id01723,232
id01485,230
id01656,229
id02053,229
id01381,229
id00730,228
id00990,228
id01326,227
id01397,226
id01999,223
id01901,223
id02051,222
id01445,218
id01816,217
id00926,217
id01765,213
id01580,213
id01810,212
id01640,210
id00205,206
id02240,206
id01899,205
id01654,205
id01565,205
id01808,204
id01577,203
id00209,202
id01449,201
id01497,199
id01503,198
id01134,197
id02246,196
id00653,194
id01374,194
id01998,193
id01781,193
id01914,193
id01402,192
id01638,192
id01310,191
id00000,191
id01994,191
id02063,191
id01916,188
id01977,187
id01500,187
id01913,186
id01783,185
id01633,185
id01387,185
id01046,184
id01552,184
id00717,182
id01302,182
id01821,181
id01724,180
id02375,180
id01704,177
id01015,177
id01314,177
id02219,177
id01794,177
id01752,176
id00617,176
id02248,176
id01566,175
id01289,175
id01154,175
id01833,175
id01583,175
id00214,174
id02031,174
id01696,173
id02037,173
id00218,172
id01856,172
id01517,172
id00992,172
id01878,170
id01514,169
id01988,169
id01573,169
id01854,165
id00229,165
id01370,165
id01311,164
id00225,164
id01464,164
id01791,163
id01349,163
id02043,162
id02377,162
id01966,162
id01584,162
id01621,162
id02237,161
id01946,161
id01890,161
id01167,161
id00583,161
id01894,161
id01875,160
id01388,160
id01460,159
id01386,159
id00650,158
id01090,158
id01912,158
id01990,158
id00238,156
id01933,156
id01222,156
id01793,155
id01797,155
id01961,155
id01487,154
id01713,154
id01047,154
id01223,153
id02047,150
id00001,149
id00649,148
id01274,148
id00279,147
id01342,147
id01403,147
id01624,147
id01937,147
id00284,146
id01798,145
id01907,145
id01180,144
id02249,144
id00713,143
id01490,143
id01740,143
id02323,142
id00243,142
id00230,142
id00965,141
id01851,141
id02243,141
id01771,141
id01931,141
id01282,140
id00070,140
id01219,140
id01734,140
id01335,140
id01344,140
id01462,139
id01748,139
id00823,139
id01411,138
id01406,138
id01518,138
id01847,138
id01658,138
id01773,136
id01760,136
id01246,136
id01974,136
id01245,135
id01865,135
id00922,135
id02224,134
id02066,134
id01491,134
id00708,133
id01525,133
id00247,132
id01952,132
id01648,131
id01874,131
id01471,131
id02217,131
id00817,131
id01956,130
id01479,130
id00993,130
id01396,130
id01429,128
id01531,128
id01343,128
id00251,128
id01593,128
id01985,128
id01932,127
id00963,127
id02024,126
id02055,126
id00270,126
id00927,126
id01295,125
id01884,125
id02008,125
id01684,125
id01351,125
id00735,125
id01978,124
id01840,124
id02244,124
id01579,124
id01522,124
id01168,124
id02056,124
id01336,124
id01981,123
id02073,123
id00618,123
id00338,123
id01350,123
id01758,122
id01877,121
id01598,121
id00997,121
id02003,120
id01508,120
id01774,119
id01996,119
id01743,119
id01476,119
id00808,119
id01454,119
id01967,119
id01968,118
id01705,118
id00364,118
id01316,118
id01701,117
id01659,117
id01736,117
id02062,117
id01630,116
id01382,116
id02221,116
id01482,115
id01815,115
id01181,115
id01832,115
id01067,114
id01532,114
id00925,113
id01838,112
id01561,112
id02229,112
id01432,112
id01852,111
id02040,111
id01806,111
id01478,111
id01505,110
id01287,110
id01596,110
id01332,110
id01763,110
id02373,110
id00257,110
id01080,110
id01976,109
id01738,109
id01330,109
id00061,109
id02058,109
id01993,108
id01492,108
id01218,108
id01357,108
id02241,108
id01920,108
id00290,108
id01915,108
id01819,108
id00266,108
id01062,107
id00827,107
id01921,107
id01708,107
id01320,107
id01629,107
id01523,107
id01669,107
id01605,106
id01453,106
id02027,106
id00996,106
id01790,106
id00273,106
id01911,105
id01337,105
id01897,105
id01407,105
id01660,104
id01059,104
id01437,104
id01941,103
id00084,103
id02036,103
id01642,103
id01608,102
id00716,102
id02046,102
id00416,102
id00850,102
id00995,102
id01906,102
id01930,102
id01741,101
id02057,101
id01973,100
id02374,100
id01383,100
id01755,100
id00614,100
id00078,100
id01880,99
id00169,99
id01284,99
id01253,99
id00723,99
id01603,98
id01719,98
id01540,98
id01855,98
id01456,98
id01338,97
id00591,97
id00031,97
id01268,96
id02065,96
id01468,96
id00032,96
id01075,96
id01309,95
id00077,95
id01151,95
id01702,94
id01362,94
id00866,94
id01661,94
id02070,94
id02049,93
id00776,93
id00311,93
id01739,93
id00305,93
id00974,93
id01823,92
id01776,92
id01511,92
id02077,92
id01319,92
id01259,92
id02232,92
id00346,92
id01910,92
id01405,91
id01458,91
id01787,91
id01254,91
id01886,91
id01398,90
id01871,90
id01012,90
id01184,90
id01358,90
id01438,90
id01940,90
id01626,90
id01759,90
id01339,90
id00002,90
id00999,89
id01980,89
id01863,89
id01589,89
id00641,89
id01945,89
id01726,89
id01715,89
id01084,89
id01467,88
id01198,88
id02247,88
