ensemble_name,family,members,weights
ENS_duration_raw_vi_full__eq,duration,train_raw__wav2vec2__mfcc_pitch | train_vi_full__wav2vec2__mfcc_pitch,"0.5000,0.5000"
ENS_duration_raw_vi_full__a60,duration,train_raw__wav2vec2__mfcc_pitch | train_vi_full__wav2vec2__mfcc_pitch,"0.6000,0.4000"
ENS_duration_raw_vi_full__a70,duration,train_raw__wav2vec2__mfcc_pitch | train_vi_full__wav2vec2__mfcc_pitch,"0.7000,0.3000"
ENS_duration_raw_vi_full_3s__eq,duration,train_raw__wav2vec2__mfcc_pitch | train_vi_full__wav2vec2__mfcc_pitch | train_vi_3s__wav2vec2__mfcc_pitch,"0.3333,0.3333,0.3333"
ENS_duration_raw_vi_full_3s__a50,duration,train_raw__wav2vec2__mfcc_pitch | train_vi_full__wav2vec2__mfcc_pitch | train_vi_3s__wav2vec2__mfcc_pitch,"0.5000,0.3000,0.2000"
ENS_duration_raw_vi_full_3s__a60,duration,train_raw__wav2vec2__mfcc_pitch | train_vi_full__wav2vec2__mfcc_pitch | train_vi_3s__wav2vec2__mfcc_pitch,"0.6000,0.2500,0.1500"
ENS_duration_raw_vi_full_5s__eq,duration,train_raw__wav2vec2__mfcc_pitch | train_vi_full__wav2vec2__mfcc_pitch | train_vi_5s__wav2vec2__mfcc_pitch,"0.3333,0.3333,0.3333"
ENS_duration_raw_vi_full_5s__a50,duration,train_raw__wav2vec2__mfcc_pitch | train_vi_full__wav2vec2__mfcc_pitch | train_vi_5s__wav2vec2__mfcc_pitch,"0.5000,0.3000,0.2000"
ENS_duration_raw_vi_full_5s__a60,duration,train_raw__wav2vec2__mfcc_pitch | train_vi_full__wav2vec2__mfcc_pitch | train_vi_5s__wav2vec2__mfcc_pitch,"0.6000,0.2500,0.1500"
ENS_duration_raw_vi_full_7s__eq,duration,train_raw__wav2vec2__mfcc_pitch | train_vi_full__wav2vec2__mfcc_pitch | train_vi_7s__wav2vec2__mfcc_pitch,"0.3333,0.3333,0.3333"
ENS_duration_raw_vi_full_7s__a50,duration,train_raw__wav2vec2__mfcc_pitch | train_vi_full__wav2vec2__mfcc_pitch | train_vi_7s__wav2vec2__mfcc_pitch,"0.5000,0.3000,0.2000"
ENS_duration_raw_vi_full_7s__a60,duration,train_raw__wav2vec2__mfcc_pitch | train_vi_full__wav2vec2__mfcc_pitch | train_vi_7s__wav2vec2__mfcc_pitch,"0.6000,0.2500,0.1500"
ENS_duration_raw_vi_full_3s_5s__eq,duration,train_raw__wav2vec2__mfcc_pitch | train_vi_full__wav2vec2__mfcc_pitch | train_vi_3s__wav2vec2__mfcc_pitch | train_vi_5s__wav2vec2__mfcc_pitch,"0.2500,0.2500,0.2500,0.2500"
ENS_duration_raw_vi_full_3s_5s__a45,duration,train_raw__wav2vec2__mfcc_pitch | train_vi_full__wav2vec2__mfcc_pitch | train_vi_3s__wav2vec2__mfcc_pitch | train_vi_5s__wav2vec2__mfcc_pitch,"0.4500,0.2500,0.1500,0.1500"
ENS_duration_raw_vi_full_3s_5s__a50,duration,train_raw__wav2vec2__mfcc_pitch | train_vi_full__wav2vec2__mfcc_pitch | train_vi_3s__wav2vec2__mfcc_pitch | train_vi_5s__wav2vec2__mfcc_pitch,"0.5000,0.2000,0.1500,0.1500"
ENS_duration_raw_vi_full_3s_7s__eq,duration,train_raw__wav2vec2__mfcc_pitch | train_vi_full__wav2vec2__mfcc_pitch | train_vi_3s__wav2vec2__mfcc_pitch | train_vi_7s__wav2vec2__mfcc_pitch,"0.2500,0.2500,0.2500,0.2500"
ENS_duration_raw_vi_full_3s_7s__a45,duration,train_raw__wav2vec2__mfcc_pitch | train_vi_full__wav2vec2__mfcc_pitch | train_vi_3s__wav2vec2__mfcc_pitch | train_vi_7s__wav2vec2__mfcc_pitch,"0.4500,0.2500,0.1500,0.1500"
ENS_duration_raw_vi_full_3s_7s__a50,duration,train_raw__wav2vec2__mfcc_pitch | train_vi_full__wav2vec2__mfcc_pitch | train_vi_3s__wav2vec2__mfcc_pitch | train_vi_7s__wav2vec2__mfcc_pitch,"0.5000,0.2000,0.1500,0.1500"
ENS_duration_raw_vi_full_5s_7s__eq,duration,train_raw__wav2vec2__mfcc_pitch | train_vi_full__wav2vec2__mfcc_pitch | train_vi_5s__wav2vec2__mfcc_pitch | train_vi_7s__wav2vec2__mfcc_pitch,"0.2500,0.2500,0.2500,0.2500"
ENS_duration_raw_vi_full_5s_7s__a45,duration,train_raw__wav2vec2__mfcc_pitch | train_vi_full__wav2vec2__mfcc_pitch | train_vi_5s__wav2vec2__mfcc_pitch | train_vi_7s__wav2vec2__mfcc_pitch,"0.4500,0.2500,0.1500,0.1500"
ENS_duration_raw_vi_full_5s_7s__a50,duration,train_raw__wav2vec2__mfcc_pitch | train_vi_full__wav2vec2__mfcc_pitch | train_vi_5s__wav2vec2__mfcc_pitch | train_vi_7s__wav2vec2__mfcc_pitch,"0.5000,0.2000,0.1500,0.1500"
ENS_duration_raw_vi_full_3s_5s_7s__eq,duration,train_raw__wav2vec2__mfcc_pitch | train_vi_full__wav2vec2__mfcc_pitch | train_vi_3s__wav2vec2__mfcc_pitch | train_vi_5s__wav2vec2__mfcc_pitch | train_vi_7s__wav2vec2__mfcc_pitch,"0.2000,0.2000,0.2000,0.2000,0.2000"
ENS_duration_raw_vi_full_3s_5s_7s__a40,duration,train_raw__wav2vec2__mfcc_pitch | train_vi_full__wav2vec2__mfcc_pitch | train_vi_3s__wav2vec2__mfcc_pitch | train_vi_5s__wav2vec2__mfcc_pitch | train_vi_7s__wav2vec2__mfcc_pitch,"0.4000,0.2500,0.1500,0.1000,0.1000"
ENS_duration_raw_vi_full_3s_5s_7s__a45,duration,train_raw__wav2vec2__mfcc_pitch | train_vi_full__wav2vec2__mfcc_pitch | train_vi_3s__wav2vec2__mfcc_pitch | train_vi_5s__wav2vec2__mfcc_pitch | train_vi_7s__wav2vec2__mfcc_pitch,"0.4500,0.2000,0.1500,0.1000,0.1000"
ENS_representation_ptm_train_raw_ptm_mfcc_pitch__wav2vec2_wavlm__eq,representation_ptm,train_raw__wav2vec2__mfcc_pitch | train_raw__wavlm__mfcc_pitch,"0.5000,0.5000"
ENS_representation_ptm_train_raw_ptm_mfcc_pitch__wav2vec2_wavlm__a60,representation_ptm,train_raw__wav2vec2__mfcc_pitch | train_raw__wavlm__mfcc_pitch,"0.6000,0.4000"
ENS_representation_ptm_train_raw_ptm_mfcc_pitch__wav2vec2_wavlm__a70,representation_ptm,train_raw__wav2vec2__mfcc_pitch | train_raw__wavlm__mfcc_pitch,"0.7000,0.3000"
