alias,picked_experiment,candidate_count,duration,ptm,feature,fusion,best_val_eer
train_raw__wav2vec2__mfcc_pitch,grid_film_raw_w2v2_mfccpitch_bdrop0p05_aug_aam_C_augOn_ap0p3_fn0p003_en0p002_m0p18_s30,26,train_raw,wav2vec2,mfcc_pitch,film,7.269999999999999
train_raw__wav2vec2__mfbe_pitch,Mode3_film_train_raw_wav2vec2_mfbe_pitch,1,train_raw,wav2vec2,mfbe_pitch,film,8.009999999999998
train_raw__wav2vec2__mfcc_only,Mode3_film_train_raw_wav2vec2_mfcc_only,1,train_raw,wav2vec2,mfcc_only,film,8.06
train_raw__wav2vec2__mfbe_only,Mode3_film_train_raw_wav2vec2_mfbe_only,1,train_raw,wav2vec2,mfbe_only,film,8.29
train_raw__wav2vec2__pitch_only,Mode3_film_train_raw_wav2vec2_pitch_only,1,train_raw,wav2vec2,pitch_only,film,9.009999999999998
train_raw__wavlm__mfcc_pitch,Mode3_film_train_raw_wavlm_mfcc_pitch,1,train_raw,wavlm,mfcc_pitch,film,7.350000000000001
train_raw__wavlm__mfbe_pitch,Mode3_film_train_raw_wavlm_mfbe_pitch,1,train_raw,wavlm,mfbe_pitch,film,7.830000000000001
train_raw__wavlm__mfcc_only,Mode3_film_train_raw_wavlm_mfcc_only,1,train_raw,wavlm,mfcc_only,film,7.650000000000001
train_raw__wavlm__mfbe_only,Mode3_film_train_raw_wavlm_mfbe_only,1,train_raw,wavlm,mfbe_only,film,7.999999999999999
train_raw__wavlm__pitch_only,Mode3_film_train_raw_wavlm_pitch_only,1,train_raw,wavlm,pitch_only,film,9.28
train_raw__hubert__mfcc_pitch,Mode3_film_train_raw_hubert_mfcc_pitch,1,train_raw,hubert,mfcc_pitch,film,7.389999999999998
train_raw__hubert__mfbe_pitch,Mode3_film_train_raw_hubert_mfbe_pitch,1,train_raw,hubert,mfbe_pitch,film,8.240000000000002
train_raw__hubert__mfcc_only,Mode3_film_train_raw_hubert_mfcc_only,1,train_raw,hubert,mfcc_only,film,7.789999999999998
train_raw__hubert__mfbe_only,Mode3_film_train_raw_hubert_mfbe_only,1,train_raw,hubert,mfbe_only,film,7.9099999999999975
train_raw__hubert__pitch_only,Mode3_film_train_raw_hubert_pitch_only,1,train_raw,hubert,pitch_only,film,8.879999999999999
train_vi_full__wav2vec2__mfcc_pitch,Mode3_film_train_vi_full_wav2vec2_mfcc_pitch_bdrop0p1,4,train_vi_full,wav2vec2,mfcc_pitch,film,16.27
train_vi_full__wav2vec2__mfbe_pitch,Mode3_film_train_vi_full_wav2vec2_mfbe_pitch,1,train_vi_full,wav2vec2,mfbe_pitch,film,15.559999999999995
train_vi_full__wav2vec2__mfcc_only,Mode3_film_train_vi_full_wav2vec2_mfcc_only,1,train_vi_full,wav2vec2,mfcc_only,film,16.33
train_vi_full__wav2vec2__mfbe_only,Mode3_film_train_vi_full_wav2vec2_mfbe_only,1,train_vi_full,wav2vec2,mfbe_only,film,14.690000000000003
train_vi_full__wav2vec2__pitch_only,Mode3_film_train_vi_full_wav2vec2_pitch_only,1,train_vi_full,wav2vec2,pitch_only,film,15.790000000000004
train_vi_full__wavlm__mfcc_pitch,Mode3_film_train_vi_full_wavlm_mfcc_pitch,1,train_vi_full,wavlm,mfcc_pitch,film,14.939999999999998
train_vi_full__wavlm__mfbe_pitch,Mode3_film_train_vi_full_wavlm_mfbe_pitch,1,train_vi_full,wavlm,mfbe_pitch,film,15.569999999999999
train_vi_full__wavlm__mfcc_only,Mode3_film_train_vi_full_wavlm_mfcc_only,1,train_vi_full,wavlm,mfcc_only,film,15.52
train_vi_full__wavlm__mfbe_only,Mode3_film_train_vi_full_wavlm_mfbe_only,1,train_vi_full,wavlm,mfbe_only,film,14.400000000000002
train_vi_full__wavlm__pitch_only,Mode3_film_train_vi_full_wavlm_pitch_only,1,train_vi_full,wavlm,pitch_only,film,16.27
train_vi_full__hubert__mfcc_pitch,Mode3_film_train_vi_full_hubert_mfcc_pitch,1,train_vi_full,hubert,mfcc_pitch,film,15.769999999999998
train_vi_full__hubert__mfbe_pitch,Mode3_film_train_vi_full_hubert_mfbe_pitch,1,train_vi_full,hubert,mfbe_pitch,film,14.500000000000002
train_vi_full__hubert__mfcc_only,Mode3_film_train_vi_full_hubert_mfcc_only,1,train_vi_full,hubert,mfcc_only,film,14.92
train_vi_full__hubert__mfbe_only,Mode3_film_train_vi_full_hubert_mfbe_only,1,train_vi_full,hubert,mfbe_only,film,12.350000000000003
train_vi_full__hubert__pitch_only,Mode3_film_train_vi_full_hubert_pitch_only,1,train_vi_full,hubert,pitch_only,film,14.180000000000003
train_vi_3s__wav2vec2__mfcc_pitch,Mode3_film_train_vi_3s_wav2vec2_mfcc_pitch,1,train_vi_3s,wav2vec2,mfcc_pitch,film,6.7799999999999985
train_vi_3s__wav2vec2__mfbe_pitch,Mode3_film_train_vi_3s_wav2vec2_mfbe_pitch,1,train_vi_3s,wav2vec2,mfbe_pitch,film,6.799999999999998
train_vi_3s__wav2vec2__mfcc_only,Mode3_film_train_vi_3s_wav2vec2_mfcc_only,1,train_vi_3s,wav2vec2,mfcc_only,film,6.950000000000001
train_vi_3s__wav2vec2__mfbe_only,Mode3_film_train_vi_3s_wav2vec2_mfbe_only,1,train_vi_3s,wav2vec2,mfbe_only,film,6.489999999999998
train_vi_3s__wav2vec2__pitch_only,Mode3_film_train_vi_3s_wav2vec2_pitch_only,1,train_vi_3s,wav2vec2,pitch_only,film,6.75
train_vi_3s__wavlm__mfcc_pitch,Mode3_film_train_vi_3s_wavlm_mfcc_pitch,1,train_vi_3s,wavlm,mfcc_pitch,film,4.559999999999999
train_vi_3s__wavlm__mfbe_pitch,Mode3_film_train_vi_3s_wavlm_mfbe_pitch,1,train_vi_3s,wavlm,mfbe_pitch,film,4.62
train_vi_3s__wavlm__mfcc_only,Mode3_film_train_vi_3s_wavlm_mfcc_only,1,train_vi_3s,wavlm,mfcc_only,film,4.190000000000002
train_vi_3s__wavlm__mfbe_only,Mode3_film_train_vi_3s_wavlm_mfbe_only,1,train_vi_3s,wavlm,mfbe_only,film,4.64
train_vi_3s__wavlm__pitch_only,Mode3_film_train_vi_3s_wavlm_pitch_only,1,train_vi_3s,wavlm,pitch_only,film,5.840000000000001
train_vi_3s__hubert__mfcc_pitch,Mode3_film_train_vi_3s_hubert_mfcc_pitch,1,train_vi_3s,hubert,mfcc_pitch,film,4.200000000000002
train_vi_3s__hubert__mfbe_pitch,Mode3_film_train_vi_3s_hubert_mfbe_pitch,1,train_vi_3s,hubert,mfbe_pitch,film,4.449999999999999
train_vi_3s__hubert__mfcc_only,Mode3_film_train_vi_3s_hubert_mfcc_only,1,train_vi_3s,hubert,mfcc_only,film,4.400000000000002
train_vi_3s__hubert__mfbe_only,Mode3_film_train_vi_3s_hubert_mfbe_only,1,train_vi_3s,hubert,mfbe_only,film,4.100000000000002
train_vi_3s__hubert__pitch_only,Mode3_film_train_vi_3s_hubert_pitch_only,1,train_vi_3s,hubert,pitch_only,film,6.020000000000001
train_vi_5s__wav2vec2__mfcc_pitch,Mode3_film_train_vi_5s_wav2vec2_mfcc_pitch,1,train_vi_5s,wav2vec2,mfcc_pitch,film,4.549999999999999
train_vi_5s__wav2vec2__mfbe_pitch,Mode3_film_train_vi_5s_wav2vec2_mfbe_pitch,1,train_vi_5s,wav2vec2,mfbe_pitch,film,3.9799999999999973
train_vi_5s__wav2vec2__mfcc_only,Mode3_film_train_vi_5s_wav2vec2_mfcc_only,1,train_vi_5s,wav2vec2,mfcc_only,film,4.33
train_vi_5s__wav2vec2__mfbe_only,Mode3_film_train_vi_5s_wav2vec2_mfbe_only,1,train_vi_5s,wav2vec2,mfbe_only,film,4.059999999999999
train_vi_5s__wav2vec2__pitch_only,Mode3_film_train_vi_5s_wav2vec2_pitch_only,1,train_vi_5s,wav2vec2,pitch_only,film,5.74
train_vi_5s__wavlm__mfcc_pitch,Mode3_film_train_vi_5s_wavlm_mfcc_pitch,1,train_vi_5s,wavlm,mfcc_pitch,film,4.210000000000001
train_vi_5s__wavlm__mfbe_pitch,Mode3_film_train_vi_5s_wavlm_mfbe_pitch,1,train_vi_5s,wavlm,mfbe_pitch,film,3.800000000000002
train_vi_5s__wavlm__mfcc_only,Mode3_film_train_vi_5s_wavlm_mfcc_only,1,train_vi_5s,wavlm,mfcc_only,film,3.910000000000001
train_vi_5s__wavlm__mfbe_only,Mode3_film_train_vi_5s_wavlm_mfbe_only,1,train_vi_5s,wavlm,mfbe_only,film,4.0200000000000005
train_vi_5s__wavlm__pitch_only,Mode3_film_train_vi_5s_wavlm_pitch_only,1,train_vi_5s,wavlm,pitch_only,film,5.530000000000001
train_vi_5s__hubert__mfcc_pitch,Mode3_film_train_vi_5s_hubert_mfcc_pitch,1,train_vi_5s,hubert,mfcc_pitch,film,3.939999999999999
train_vi_5s__hubert__mfbe_pitch,Mode3_film_train_vi_5s_hubert_mfbe_pitch,1,train_vi_5s,hubert,mfbe_pitch,film,4.220000000000001
train_vi_5s__hubert__mfcc_only,Mode3_film_train_vi_5s_hubert_mfcc_only,1,train_vi_5s,hubert,mfcc_only,film,4.500000000000002
train_vi_5s__hubert__mfbe_only,Mode3_film_train_vi_5s_hubert_mfbe_only,1,train_vi_5s,hubert,mfbe_only,film,4.220000000000001
train_vi_5s__hubert__pitch_only,Mode3_film_train_vi_5s_hubert_pitch_only,1,train_vi_5s,hubert,pitch_only,film,5.73
