TestSet,Experiment,Kind,Family,Members,Weights,Mode,Fusion,Feature,PTM,Duration,EER (%),MinDCF,Used Pairs,Missing Pairs,BankAlias,ResolvedMembers
full_length,ENS_representation_ptm_train_raw_ptm_mfcc_pitch__wav2vec2_wavlm__a70,ensemble,representation_ptm,train_raw__wav2vec2__mfcc_pitch | train_raw__wavlm__mfcc_pitch,"0.7000,0.3000",ensemble,ensemble,ensemble,ensemble,multi,4.253722258756657,0.528829290744246,9895,0,,grid_film_raw_w2v2_mfccpitch_bdrop0p05_aug_aam_C_augOn_ap0p3_fn0p003_en0p002_m0p18_s30 | Mode3_film_train_raw_wavlm_mfcc_pitch
full_length,ENS_representation_ptm_train_raw_ptm_mfcc_pitch__wav2vec2_wavlm__a60,ensemble,representation_ptm,train_raw__wav2vec2__mfcc_pitch | train_raw__wavlm__mfcc_pitch,"0.6000,0.4000",ensemble,ensemble,ensemble,ensemble,multi,4.253722258756657,0.5316911059527497,9895,0,,grid_film_raw_w2v2_mfccpitch_bdrop0p05_aug_aam_C_augOn_ap0p3_fn0p003_en0p002_m0p18_s30 | Mode3_film_train_raw_wavlm_mfcc_pitch
full_length,ENS_representation_ptm_train_raw_ptm_mfcc_pitch__wav2vec2_wavlm_hubert__a60,ensemble,representation_ptm,train_raw__wav2vec2__mfcc_pitch | train_raw__wavlm__mfcc_pitch | train_raw__hubert__mfcc_pitch,"0.6000,0.2500,0.1500",ensemble,ensemble,ensemble,ensemble,multi,4.260434569133889,0.5251498140475984,9895,0,,grid_film_raw_w2v2_mfccpitch_bdrop0p05_aug_aam_C_augOn_ap0p3_fn0p003_en0p002_m0p18_s30 | Mode3_film_train_raw_wavlm_mfcc_pitch | Mode3_film_train_raw_hubert_mfcc_pitch
full_length,ENS_representation_ptm_train_raw_ptm_mfcc_pitch__wav2vec2_wavlm_hubert__a50,ensemble,representation_ptm,train_raw__wav2vec2__mfcc_pitch | train_raw__wavlm__mfcc_pitch | train_raw__hubert__mfcc_pitch,"0.5000,0.3000,0.2000",ensemble,ensemble,ensemble,ensemble,multi,4.334879195427242,0.5267055003733748,9895,0,,grid_film_raw_w2v2_mfccpitch_bdrop0p05_aug_aam_C_augOn_ap0p3_fn0p003_en0p002_m0p18_s30 | Mode3_film_train_raw_wavlm_mfcc_pitch | Mode3_film_train_raw_hubert_mfcc_pitch
full_length,ENS_representation_ptm_train_raw_ptm_mfcc_pitch__wav2vec2_wavlm__eq,ensemble,representation_ptm,train_raw__wav2vec2__mfcc_pitch | train_raw__wavlm__mfcc_pitch,"0.5000,0.5000",ensemble,ensemble,ensemble,ensemble,multi,4.334879195427242,0.5428272295216092,9895,0,,grid_film_raw_w2v2_mfccpitch_bdrop0p05_aug_aam_C_augOn_ap0p3_fn0p003_en0p002_m0p18_s30 | Mode3_film_train_raw_wavlm_mfcc_pitch
full_length,ENS_representation_ptm_train_raw_ptm_mfcc_pitch__wav2vec2_hubert__a70,ensemble,representation_ptm,train_raw__wav2vec2__mfcc_pitch | train_raw__hubert__mfcc_pitch,"0.7000,0.3000",ensemble,ensemble,ensemble,ensemble,multi,4.416036132097828,0.5334421792363595,9895,0,,grid_film_raw_w2v2_mfccpitch_bdrop0p05_aug_aam_C_augOn_ap0p3_fn0p003_en0p002_m0p18_s30 | Mode3_film_train_raw_hubert_mfcc_pitch
full_length,grid_film_raw_w2v2_mfccpitch_bdrop0p05_aug_aam_C_augOn_ap0p3_fn0p003_en0p002_m0p18_s30,single,single,grid_film_raw_w2v2_mfccpitch_bdrop0p05_aug_aam_C_augOn_ap0p3_fn0p003_en0p002_m0p18_s30,1.0,3,film,mfcc_pitch,wav2vec2,train_raw,4.416036132097828,0.5345093981675567,9895,0,train_raw__wav2vec2__mfcc_pitch,
full_length,ENS_representation_hc_train_raw_hc_wav2vec2__mfcc_pitch_mfcc_pitch__a60,ensemble,representation_hc,train_raw__wav2vec2__mfcc_pitch | train_raw__wav2vec2__mfcc_only | train_raw__wav2vec2__pitch_only,"0.6000,0.2500,0.1500",ensemble,ensemble,ensemble,ensemble,multi,4.416036132097828,0.5494842717340823,9895,0,,grid_film_raw_w2v2_mfccpitch_bdrop0p05_aug_aam_C_augOn_ap0p3_fn0p003_en0p002_m0p18_s30 | Mode3_film_train_raw_wav2vec2_mfcc_only | Mode3_film_train_raw_wav2vec2_pitch_only
full_length,ENS_representation_hc_train_raw_hc_wav2vec2__mfcc_pitch_mfcc__a70,ensemble,representation_hc,train_raw__wav2vec2__mfcc_pitch | train_raw__wav2vec2__mfcc_only,"0.7000,0.3000",ensemble,ensemble,ensemble,ensemble,multi,4.449902290055891,0.5428633431784217,9895,0,,grid_film_raw_w2v2_mfccpitch_bdrop0p05_aug_aam_C_augOn_ap0p3_fn0p003_en0p002_m0p18_s30 | Mode3_film_train_raw_wav2vec2_mfcc_only
full_length,ENS_representation_ptm_train_raw_ptm_mfcc_pitch__wav2vec2_wavlm_hubert__eq,ensemble,representation_ptm,train_raw__wav2vec2__mfcc_pitch | train_raw__wavlm__mfcc_pitch | train_raw__hubert__mfcc_pitch,"0.3333,0.3333,0.3333",ensemble,ensemble,ensemble,ensemble,multi,4.456614600433124,0.532411073961977,9895,0,,grid_film_raw_w2v2_mfccpitch_bdrop0p05_aug_aam_C_augOn_ap0p3_fn0p003_en0p002_m0p18_s30 | Mode3_film_train_raw_wavlm_mfcc_pitch | Mode3_film_train_raw_hubert_mfcc_pitch
