exp_name,exp_dir,timestamp,mode,fusion_method,feature_mode,duration,pretrained_model,best_val_eer,best_val_mindcf,epochs_trained,total_train_time_sec,total_train_loop_time_sec,total_val_time_sec,avg_train_epoch_time_sec,avg_val_epoch_time_sec,gflops_per_sample,gflops_total,peak_gpu_memory_allocated_mb,peak_gpu_memory_reserved_mb,total_params,trainable_params,total_param_memory_mb,trainable_param_memory_mb,includes_pretrained_backbone_params,pretrained_backbone_param_source,pretrained_backbone_params,pretrained_backbone_trainable_params,pretrained_backbone_param_memory_mb,pretrained_backbone_trainable_param_memory_mb
Mode1_PTM_train_raw_hubert_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,./outputs\experiments_final\Mode1_PTM_train_raw_hubert_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,2026-05-02T14:12:56.068770,1,N/A,N/A,train_raw,hubert,8.66,0.4540999999999993,30,205.82673209998757,197.18191790001583,8.424765200092224,6.572730596667195,0.2808255066697408,0.002898051,22445.52091704,1912.74169921875,2132.0,95077633,397057,362.69238662719727,1.5146522521972656,True,estimated_from_precomputed:hubert_base,94680576,0,361.177734375,0.0
Mode1_PTM_train_raw_wav2vec2_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,./outputs\experiments_final\Mode1_PTM_train_raw_wav2vec2_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,2026-05-02T12:09:22.756892,1,N/A,N/A,train_raw,wav2vec2,9.46,0.489799999999999,19,134.60972310000216,128.84805200001574,5.6049851999559905,6.78147642105346,0.2949992210503153,0.002898051,14215.496580792,1914.14111328125,2132.0,95441665,397057,364.08105850219727,1.5146522521972656,True,estimated_from_precomputed:wav2vec2_base,95044608,0,362.56640625,0.0
Mode1_PTM_train_raw_wavlm_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,./outputs\experiments_final\Mode1_PTM_train_raw_wavlm_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,2026-05-02T14:15:19.291589,1,N/A,N/A,train_raw,wavlm,8.75,0.4553000000000004,17,137.98367610000423,131.6077595000679,6.212950199958868,7.741632911768701,0.3654676588211099,0.002898051,12719.128519656,1913.99462890625,2132.0,95077633,397057,362.69238662719727,1.5146522521972656,True,estimated_from_precomputed:wavlm_base,94680576,0,361.177734375,0.0
Mode1_PTM_train_vi_3s_hubert_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,./outputs\experiments_final\Mode1_PTM_train_vi_3s_hubert_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,2026-05-02T14:25:13.034325,1,N/A,N/A,train_vi_3s,hubert,6.24,0.3257999999999994,17,314.12423560000025,289.80261339995195,24.170854199968744,17.04721255293835,1.4218149529393378,0.002728266,25967.341135272,3662.99951171875,3938.0,95077633,397057,362.69238662719727,1.5146522521972656,True,estimated_from_precomputed:hubert_base,94680576,0,361.177734375,0.0
Mode1_PTM_train_vi_3s_wav2vec2_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,./outputs\experiments_final\Mode1_PTM_train_vi_3s_wav2vec2_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,2026-05-02T14:38:40.658610,1,N/A,N/A,train_vi_3s,wav2vec2,7.0699999999999985,0.3504000000000005,18,336.23326310000266,311.41782430000603,24.65572550005163,17.300990238889224,1.3697625277806462,0.002728266,27494.831790288,3665.13037109375,3938.0,95441665,397057,364.08105850219727,1.5146522521972656,True,estimated_from_precomputed:wav2vec2_base,95044608,0,362.56640625,0.0
Mode1_PTM_train_vi_3s_wavlm_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,./outputs\experiments_final\Mode1_PTM_train_vi_3s_wavlm_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,2026-05-02T14:32:50.783113,1,N/A,N/A,train_vi_3s,wavlm,6.169999999999999,0.30639999999999984,27,444.37797450000653,414.9314466000942,29.298820300027728,15.367831355559044,1.0851414925936196,0.002728266,41242.247685432,3665.13037109375,3938.0,95077633,397057,362.69238662719727,1.5146522521972656,True,estimated_from_precomputed:wavlm_base,94680576,0,361.177734375,0.0
Mode1_PTM_train_vi_5s_hubert_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,./outputs\experiments_final\Mode1_PTM_train_vi_5s_hubert_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,2026-05-02T14:42:25.323128,1,N/A,N/A,train_vi_5s,hubert,5.369999999999998,0.2636000000000009,16,215.33410609999555,192.92350050003733,22.299063699989347,12.057718781252333,1.3936914812493342,0.002198331,13864.680163872,1812.3193359375,1936.0,95077633,397057,362.69238662719727,1.5146522521972656,True,estimated_from_precomputed:hubert_base,94680576,0,361.177734375,0.0
Mode1_PTM_train_vi_5s_wav2vec2_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,./outputs\experiments_final\Mode1_PTM_train_vi_5s_wav2vec2_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,2026-05-02T14:50:39.299028,1,N/A,N/A,train_vi_5s,wav2vec2,5.4899999999999975,0.2727000000000005,20,250.16835829999764,225.6644661000464,24.360438400006387,11.28322330500232,1.2180219200003193,0.002198331,17330.85020484,1799.40771484375,1936.0,95441665,397057,364.08105850219727,1.5146522521972656,True,estimated_from_precomputed:wav2vec2_base,95044608,0,362.56640625,0.0
Mode1_PTM_train_vi_5s_wavlm_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,./outputs\experiments_final\Mode1_PTM_train_vi_5s_wavlm_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,2026-05-02T14:46:20.507747,1,N/A,N/A,train_vi_5s,wavlm,4.859999999999999,0.24280000000000027,17,226.44689580000704,203.1596708999714,23.107131299941102,11.950568876468905,1.3592430176435943,0.002198331,14731.222674114,1799.40771484375,1936.0,95077633,397057,362.69238662719727,1.5146522521972656,True,estimated_from_precomputed:wavlm_base,94680576,0,361.177734375,0.0
Mode1_PTM_train_vi_7s_hubert_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,./outputs\experiments_final\Mode1_PTM_train_vi_7s_hubert_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,2026-05-02T14:51:01.378629,1,N/A,N/A,train_vi_7s,hubert,5.589999999999998,0.3108000000000009,25,20.02301480001188,18.26314209998236,1.5832705000066198,0.7305256839992944,0.0633308200002648,0.00148935,978.46571625,137.89990234375,174.0,95077633,397057,362.69238662719727,1.5146522521972656,True,estimated_from_precomputed:hubert_base,94680576,0,361.177734375,0.0
