TestSet,Experiment,Mode,Fusion,Feature,PTM,EER (%),MinDCF,Used Pairs,Missing Pairs,Runtime Feature Load (s),Runtime Model Load (s),Runtime Embedding (s),Runtime Score (s),Runtime Total (s),GFLOPs/sample,GFLOPs total,Total Samples Accounted,Peak GPU Memory Allocated (MB),Peak GPU Memory Reserved (MB),Total Params,Trainable Params,Param Memory (MB),Trainable Param Memory (MB)
test_7s,Mode3_concat_train_vi_full_wavlm_mfbe_pitch_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,3,concat,mfbe_pitch,wavlm,3.1108128349912136,0.5432976400877831,9895,0,0.28758270002435893,0.1909479999449104,12.765133899985813,0.0003659999929368496,13.35814870003378,0.011917446,32.010259956,2686,244.9013671875,272.0,12329537,12329537,47.033451080322266,47.033451080322266
test_7s,Mode3_concat_train_vi_full_hubert_mfbe_pitch_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,3,concat,mfbe_pitch,hubert,3.1446789929492764,0.5634896198483296,9895,0,0.2838349000085145,0.14464429998770356,13.733520400011912,0.00038839998887851834,14.271442600002047,0.011917446,32.010259956,2686,244.9013671875,272.0,12329537,12329537,47.033451080322266,47.033451080322266
test_7s,Mode3_concat_train_vi_full_wavlm_mfcc_only_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,3,concat,mfcc_only,wavlm,3.1919697716617996,0.5611162720344072,9895,0,0.23159869998926297,0.12844780000159517,11.916664300020784,0.00035770004615187645,12.387068000040017,0.011917446,32.010259956,2686,243.869140625,270.0,12277057,12277057,46.833255767822266,46.833255767822266
test_7s,Mode3_film_train_vi_full_hubert_mfbe_pitch_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,3,film,mfbe_pitch,hubert,3.1919697716617996,0.5668760161082272,9895,0,0.39754009997705,0.14139559998875484,11.250539199972991,0.0003512999974191189,11.904324600007385,0.011395206,30.607523315999998,2686,240.9169921875,268.0,12068417,12068417,46.037357330322266,46.037357330322266
test_7s,Mode3_concat_train_vi_full_wavlm_fbank_pitch_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,3,concat,fbank_pitch,wavlm,3.225835929619862,0.5556241422320458,9895,0,0.3446478000259958,0.17891259997850284,12.783242400037125,0.00035309995291754603,13.41470369999297,0.011406726,30.638466036,2686,244.8798828125,264.0,12329537,12329537,47.033451080322266,47.033451080322266
test_7s,Mode3_gating_train_vi_full_wav2vec2_mfbe_pitch_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,3,gating,mfbe_pitch,wav2vec2,3.2325482399970946,0.5788659148220432,9895,0,0.2911246999865398,0.18105120002292097,10.659395499969833,0.0003627000260166824,11.2459247999941,0.011918982,32.014385652,2686,244.9013671875,272.0,12329537,12329537,47.033451080322266,47.033451080322266
test_7s,Mode3_film_train_vi_full_wavlm_mfcc_only_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,3,film,mfcc_only,wavlm,3.2392605503743273,0.5575344888166762,9895,0,0.23468689998844638,0.12733240000670776,12.792814999993425,0.00035799999022856355,13.272937899979297,0.011395206,30.607523315999998,2686,239.884765625,266.0,12015937,12015937,45.837162017822266,45.837162017822266
test_7s,Mode3_film_train_vi_full_wavlm_fbank_pitch_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,3,film,fbank_pitch,wavlm,3.2392605503743273,0.5578021030881348,9895,0,0.34215650003170595,0.15854610002133995,12.426746500015724,0.0003622999647632241,13.043710599944461,0.010884486,29.235729396,2686,240.8955078125,260.0,12068417,12068417,46.037357330322266,46.037357330322266
test_7s,Mode1_PTM_train_vi_full_wavlm_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,1,N/A,N/A,wavlm,3.2731267083323847,0.5679432350394243,9895,0,0.047124700038693845,0.011367600003723055,1.0950568999978714,0.00034549995325505733,1.1597542999661528,0.000816384,2.1928074239999997,2686,21.98583984375,42.0,397057,397057,1.5146522521972656,1.5146522521972656
test_7s,Mode3_concat_train_vi_full_wav2vec2_fbank_pitch_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,3,concat,fbank_pitch,wav2vec2,3.2731267083323847,0.5685909757350264,9895,0,0.34213860001182184,0.18295690004015341,13.477500700042583,0.0003714999766089022,14.11243259999901,0.011406726,30.638466036,2686,244.8798828125,264.0,12329537,12329537,47.033451080322266,47.033451080322266
